icd10_code,description,code_family,chapter,chronic,specificity,hcc_v28_code,hcc_v28_label
E11.3559,"Type 2 diabetes mellitus with stable proliferative diabetic retinopathy, unspecified eye",E11,"Endocrine, nutritional and metabolic diseases",true,unspecified,36,Diabetes with Chronic Complications
E11.37X9,"Type 2 diabetes mellitus with diabetic macular edema, resolved following treatment, unspecified eye",E11,"Endocrine, nutritional and metabolic diseases",true,unspecified,36,Diabetes with Chronic Complications
E11.40,"Type 2 diabetes mellitus with diabetic neuropathy, unspecified",E11,"Endocrine, nutritional and metabolic diseases",true,unspecified,36,Diabetes with Chronic Complications
E11.42,Type 2 diabetes mellitus with diabetic polyneuropathy,E11,"Endocrine, nutritional and metabolic diseases",true,specified,36,Diabetes with Chronic Complications
E11.43,Type 2 diabetes mellitus with diabetic autonomic (poly)neuropathy,E11,"Endocrine, nutritional and metabolic diseases",true,specified,36,Diabetes with Chronic Complications
E11.59,Type 2 diabetes mellitus with other circulatory complications,E11,"Endocrine, nutritional and metabolic diseases",true,specified,36,Diabetes with Chronic Complications
E11.610,Type 2 diabetes mellitus with diabetic neuropathic arthropathy,E11,"Endocrine, nutritional and metabolic diseases",true,specified,36,Diabetes with Chronic Complications
E11.620,Type 2 diabetes mellitus with diabetic dermatitis,E11,"Endocrine, nutritional and metabolic diseases",true,specified,36,Diabetes with Chronic Complications
E11.630,Type 2 diabetes mellitus with periodontal disease,E11,"Endocrine, nutritional and metabolic diseases",true,specified,36,Diabetes with Chronic Complications
E11.641,Type 2 diabetes mellitus with hypoglycemia with coma,E11,"Endocrine, nutritional and metabolic diseases",true,specified,36,Diabetes with Chronic Complications
E11.65,Type 2 diabetes mellitus with hyperglycemia,E11,"Endocrine, nutritional and metabolic diseases",true,specified,36,Diabetes with Chronic Complications
E11.69,Type 2 diabetes mellitus with other specified complication,E11,"Endocrine, nutritional and metabolic diseases",true,specified,36,Diabetes with Chronic Complications
E11.9,Type 2 diabetes mellitus without complications,E11,"Endocrine, nutritional and metabolic diseases",true,unspecified,37,"Diabetes with Glycemic, Unspecified, or No Complications"
E13.01,Other specified diabetes mellitus with hyperosmolarity with coma,E13,"Endocrine, nutritional and metabolic diseases",true,specified,37,"Diabetes with Glycemic, Unspecified, or No Complications"
E13.10,Other specified diabetes mellitus with ketoacidosis without coma,E13,"Endocrine, nutritional and metabolic diseases",true,unspecified,37,"Diabetes with Glycemic, Unspecified, or No Complications"
E13.22,Other specified diabetes mellitus with diabetic chronic kidney disease,E13,"Endocrine, nutritional and metabolic diseases",true,specified,37,"Diabetes with Glycemic, Unspecified, or No Complications"
E13.3219,"Other specified diabetes mellitus with mild nonproliferative diabetic retinopathy with macular edema, unspecified eye",E13,"Endocrine, nutritional and metabolic diseases",true,unspecified,37,"Diabetes with Glycemic, Unspecified, or No Complications"
E13.3491,"Other specified diabetes mellitus with severe nonproliferative diabetic retinopathy without macular edema, right eye",E13,"Endocrine, nutritional and metabolic diseases",true,unspecified,37,"Diabetes with Glycemic, Unspecified, or No Complications"
E13.40,"Other specified diabetes mellitus with diabetic neuropathy, unspecified",E13,"Endocrine, nutritional and metabolic diseases",true,unspecified,37,"Diabetes with Glycemic, Unspecified, or No Complications"
E13.43,Other specified diabetes mellitus with diabetic autonomic (poly)neuropathy,E13,"Endocrine, nutritional and metabolic diseases",true,specified,37,"Diabetes with Glycemic, Unspecified, or No Complications"
E13.52,Other specified diabetes mellitus with diabetic peripheral angiopathy with gangrene,E13,"Endocrine, nutritional and metabolic diseases",true,specified,37,"Diabetes with Glycemic, Unspecified, or No Complications"
E13.610,Other specified diabetes mellitus with diabetic neuropathic arthropathy,E13,"Endocrine, nutritional and metabolic diseases",true,specified,37,"Diabetes with Glycemic, Unspecified, or No Complications"
E13.628,Other specified diabetes mellitus with other skin complications,E13,"Endocrine, nutritional and metabolic diseases",true,specified,37,"Diabetes with Glycemic, Unspecified, or No Complications"
E13.641,Other specified diabetes mellitus with hypoglycemia with coma,E13,"Endocrine, nutritional and metabolic diseases",true,specified,37,"Diabetes with Glycemic, Unspecified, or No Complications"
E13.69,Other specified diabetes mellitus with other specified complication,E13,"Endocrine, nutritional and metabolic diseases",true,specified,37,"Diabetes with Glycemic, Unspecified, or No Complications"
E43,Unspecified severe protein-calorie malnutrition,E43,"Endocrine, nutritional and metabolic diseases",true,unspecified,63,Protein-Calorie Malnutrition
E44.0,Moderate protein-calorie malnutrition,E44,"Endocrine, nutritional and metabolic diseases",true,specified,63,Protein-Calorie Malnutrition
E55.9,"Vitamin D deficiency, unspecified",E55,"Endocrine, nutritional and metabolic diseases",false,unspecified,,
E64.0,Sequelae of protein-calorie malnutrition,E64,"Endocrine, nutritional and metabolic diseases",true,specified,63,Protein-Calorie Malnutrition
E64.1,Sequelae of vitamin A deficiency,E64,"Endocrine, nutritional and metabolic diseases",true,specified,63,Protein-Calorie Malnutrition
E64.2,Sequelae of vitamin C deficiency,E64,"Endocrine, nutritional and metabolic diseases",true,specified,63,Protein-Calorie Malnutrition
E64.3,Sequelae of rickets,E64,"Endocrine, nutritional and metabolic diseases",true,specified,63,Protein-Calorie Malnutrition
E66.01,Morbid (severe) obesity due to excess calories,E66,"Endocrine, nutritional and metabolic diseases",true,specified,48,Morbid Obesity
E66.9,"Obesity, unspecified",E66,"Endocrine, nutritional and metabolic diseases",false,unspecified,,
E78.011,Heterozygous familial hypercholesterolemia [HeFH],E78,"Endocrine, nutritional and metabolic diseases",false,specified,,
E78.019,"Familial hypercholesterolemia, unspecified",E78,"Endocrine, nutritional and metabolic diseases",false,unspecified,,
E78.1,Pure hyperglyceridemia,E78,"Endocrine, nutritional and metabolic diseases",false,specified,,
E78.2,Mixed hyperlipidemia,E78,"Endocrine, nutritional and metabolic diseases",false,specified,,
